Drug_wlkffqozug : (Drug_ueahriohcd,Eff_gaftvdwbrs) 
Drug_weqbgfffat : (Drug_khtvotwoju,Eff_xuozwmymgh) 
Drug_lhwiqxzvqy : (Drug_ylqzetrlms,Eff_cxkourkxdt) ; (Drug_zogaoigamx,Eff_mokuztetvj) 
Drug_mrfqrdqkxs : (Drug_juneruhyvh,Eff_sctdxzzrdn) 
Drug_rdevsfkndv : (Drug_puxfllfxab,Eff_jhllnpijja) 
Drug_aqxltaliqx : (Drug_fbzdkunnuq,Eff_uuqkxnbswz) 
Drug_dtftbjwjra : (Drug_ltnqovenjp,Eff_ysbuulrktl) ; (Drug_zjyvuigbzv,Eff_dtosyvcnsd) 
Drug_vtvyqcospc : (Drug_nklcpkjwxi,Eff_tdcidwxcnb) 
Drug_pjclqzncfg : (Drug_esrtjmlbug,Eff_jyvoumkpdq) 
Drug_rmuopvvsgv : (Drug_qwcaildslx,Eff_btdtxtqgmg) 
Drug_pqycnpeqgs : (Drug_zgjqlbgmcf,Eff_phnezxuqao) 
Drug_bxjhfgorrk : (Drug_hhnrloezsk,Eff_drxopwhbyo) 
Drug_aoarftxofz : (Drug_ppshilyotu,Eff_bsruxejpeo) 
Drug_btizordzhc : (Drug_pzhjasadwc,Eff_xpkkeargsm) 
Drug_mmhvbxfyjk : (Drug_byavjlsopz,Eff_pbdofnvobv) 
Drug_ywizfqmpoi : (Drug_tcmpylvyex,Eff_kbugpqrmqh) 
Drug_uwtldhnswp : (Drug_uiuamshkor,Eff_curasueerl) 
Drug_nmenwdzjbf : (Drug_zkrfksclfg,Eff_eyqsithzhp) 
Drug_lllhqwgjec : (Drug_mxhlvyznma,Eff_slwwukoahx) ; (Drug_bwwcltwnvb,Eff_dwauudiwnk) 
Drug_rvqpqllglt : (Drug_jnwcggpazo,Eff_lpshjcxwfa) 
Drug_kbugawpvul : (Drug_stgewnzxbu,Eff_qneanyhemb) 
Drug_uqzrtokayn : (Drug_yoqdqczgjs,Eff_mrkvpcblap) 
Drug_pgzhpyfhqx : (Drug_bockuxurus,Eff_tqzcnfiwki) 
Drug_htupubwybh : (Drug_qsaxxtrrab,Eff_suuovecqhw) 
Drug_lkiawymqfj : (Drug_qdsposqnus,Eff_ryfwfnrsjl) 
Drug_eyvrceofqv : (Drug_dforixecly,Eff_eqyepuocvp) ; (Drug_mvsgnbqmtm,Eff_pgvauktokn) 
Drug_rvhzvlkcwv : (Drug_vsfybeuqxz,Eff_svxwryqdph) 
Drug_tvzziujodh : (Drug_voioyngymb,Eff_ckajyhkjpm) 
Drug_krsxsyntal : (Drug_mxtasttndp,Eff_wxeducjxod) 
Drug_uovdlgzwno : (Drug_fzkyhagswm,Eff_qxcjisiqhw) 
Drug_xizlrpvxxn : (Drug_xtnjulcxvr,Eff_qgszficbgm) 
Drug_qgijxthedk : (Drug_sggnevouoq,Eff_kuubkvvxyi) 
Drug_uebnbaehhh : (Drug_tptxyzqozy,Eff_lkdirxyzcr) 
Drug_dufqngemxg : (Drug_usgngxvtaa,Eff_isffxlmzsc) 
Drug_asybkegitt : (Drug_yurhfwqnmd,Eff_ntatelalnk) 
Drug_levohmxxcw : (Drug_jyrqpunqyp,Eff_cmcygxympo) 
Drug_haribhtnlg : (Drug_tzxommycxo,Eff_upwooahigt) 
Drug_qwohjmhmhq : (Drug_tbbwlzfimi,Eff_xpibbzvnhb) ; (Drug_fszyolkyuk,Eff_yxfczeielm) 
Drug_wxnlcjtfix : (Drug_pkmozvxdgv,Eff_furzakyhvo) 
Drug_hejfpaavxg : (Drug_cctjppdpcv,Eff_svoroksvhw) 
Drug_zpjuvujtsv : (Drug_oftsotgkfa,Eff_pfbcfkbkjm) 
Drug_seqcmexxhr : (Drug_jlqynsjwmo,Eff_laxsevspef) 
Drug_agbkmfpimd : (Drug_jlgnzjinwp,Eff_qspbadbifw) 
Drug_ntzeynxwwp : (Drug_pvksuxcumq,Eff_fslecnjxeb) 
Drug_gmoqlmjlob : (Drug_iectnlllxo,Eff_duemjltriy) 
Drug_gzbkxakvtd : (Drug_qleyxibery,Eff_llzwmzmnyx) 
Drug_wlaydtjkfc : (Drug_whmvjvyuyh,Eff_hsxzpnvume) 
Drug_bcxybkhlny : (Drug_ktnjjtmyae,Eff_stgpwuzlgp) 
Drug_htvruesfwt : (Drug_ilulqsvbwn,Eff_zlcwutjmvd) 
Drug_wkmhdeyfmd : (Drug_ilehppnrsj,Eff_yuxgnfcocv) 
Drug_opfizyhltj : (Drug_heiulghswp,Eff_fyzowtgngv) 
Drug_pzdennsxfo : (Drug_ojysknhzmc,Eff_bdffdmltbn) 
Drug_ylvglzqexp : (Drug_lzzaptwlip,Eff_fktqidfsgj) 
Drug_ujfmapzhom : (Drug_zumunmbvhn,Eff_lutpdwbakg) 
Drug_dhwhoitdmq : (Drug_oenhjsqrlw,Eff_btiyuphlof) 
Drug_heqdtwfktl : (Drug_fczvydarmp,Eff_hshbolmpyh) 
Drug_gixfmawzru : (Drug_vxaihfjfva,Eff_vlnhdwjipl) 
Drug_sqipabvuxh : (Drug_jpiouvtkqs,Eff_ritnprxrkd) 
Drug_zagaqonoax : (Drug_ybpqtlbjio,Eff_qviyuwxnxq) 
Drug_wwgdflfeoq : (Drug_honlgcbmpt,Eff_ztszfyqygn) 
Drug_nmsprageer : (Drug_jqvrcwnsiw,Eff_ghtfmbvoqa) 
Drug_tiojgcjkyb : (Drug_fugricddss,Eff_mssdudygde) 
Drug_mugjwtosmm : (Drug_saobqkwksz,Eff_apocbrnefd) 
Drug_dsymnibarl : (Drug_cmicihwssb,Eff_rukedonctv) 
Drug_nopvbvhihy : (Drug_rqimrnguwl,Eff_ychrdzfell) 
Drug_vjgiaimrtz : (Drug_jvlojihnyd,Eff_dehksrwhkf) 
Drug_ysannlxdnh : (Drug_gpblsounua,Eff_koltwywhqb) 
Drug_nqptdncxxv : (Drug_utyjmtllub,Eff_dlhuoxevwk) 
Drug_slegstqrdq : (Drug_qbltiivvll,Eff_geumcjhkny) 
Drug_didppsmsfm : (Drug_qdvuklcphx,Eff_vaqqdshgup) 
Drug_qfunidtkrx : (Drug_ceheuribtq,Eff_gftmmkwgba) 
Drug_ludqarkneg : (Drug_uemadzxfrh,Eff_hdzbtfsldj) 
Drug_trxcilxqji : (Drug_hjloaekklp,Eff_duaddpwnke) 
Drug_aektlcuiot : (Drug_bkvsixywmq,Eff_feawxooagq) 
Drug_pqniybfrin : (Drug_plvxqcaaik,Eff_jvmnuzwsvk) 
Drug_tomkakvfbf : (Drug_byquzilbjo,Eff_bootrwqhqo) 
Drug_qljrkfumlm : (Drug_zaxtrqinud,Eff_dwfpyvcdjr) 
Drug_pwxfpoxejc : (Drug_lixyurdyvr,Eff_xumwhkowtt) 
Drug_jtegjnteuo : (Drug_vknadjfetu,Eff_nizagkobsa) 
Drug_iidqydojui : (Drug_zjmpiatckd,Eff_barrgxmglf) 
Drug_lqfwkkigtd : (Drug_vcubiwwezm,Eff_ixfzuuaxrq) 
Drug_uitvetrodc : (Drug_nucalhyxtf,Eff_uejoaqczkk) 
Drug_otiavwpjts : (Drug_pughorkagn,Eff_idcgwvvism) 
Drug_vprapjucxj : (Drug_cdvfmgsppu,Eff_dssjwkvtht) ; (Drug_hxftmudbot,Eff_tljcmpekca) ; (Drug_gjnwolfxdh,Eff_adpzchyzuk) 
Drug_tbbwlzfimi : (Drug_qwohjmhmhq,Eff_xpibbzvnhb) 
Drug_ehmzrqzihz : (Drug_carmnkvnzt,Eff_ttzqdbujvi) 
Drug_sprfnyzhsp : (Drug_vkeyzvqqkh,Eff_juikviytns) 
Drug_hismqmlrao : (Drug_hbgnlvestf,Eff_jgqmpbjjce) ; (Drug_qvytvvxhpv,Eff_egxtfrfxez) 
Drug_txvqxyrcke : (Drug_paqjmkiiiz,Eff_oppfcvzoll) ; (Drug_vmpugoniiv,Eff_tnpodmslbj) ; (Drug_wglqmasmvx,Eff_flzqfnmbfg) 
Drug_gzwjofuwdn : (Drug_rtejdrvtnk,Eff_iulzusnesi) 
Drug_wexeawurfy : (Drug_kvdubtgppc,Eff_pkftwwovnz) 
Drug_sxqnjhdwpg : (Drug_geqdrhjaeh,Eff_igyimiayfp) 
Drug_rugdduotin : (Drug_pflmpjzqln,Eff_lmqzivjxdd) 
Drug_zmikuwcfcf : (Drug_rklggeyqpi,Eff_gytxrijuab) 
Drug_fdcjlzgbrm : (Drug_mlotlxspsm,Eff_mznxdvvlpb) 
Drug_qowzciybpg : (Drug_cwxrscxcco,Eff_eqmlchcmgg) 
Drug_zryndgglpi : (Drug_jdfnlwvyvj,Eff_bgbvbbmfro) 
Drug_fablzlaqvl : (Drug_zqfogceych,Eff_csrwrmzivt) 
Drug_gpdckphkhj : (Drug_yvfohyngwu,Eff_ajlmdqrjkb) 
Drug_iemfxxlobv : (Drug_bbobrftbmr,Eff_acshqsbjtz) 
Drug_ovmloceccb : (Drug_fljpwwsphn,Eff_erdfjvsqei) 
Drug_pqicarisrf : (Drug_kzhfncbkin,Eff_qcxsbqecdg) 
Drug_inycunzwcy : (Drug_rsectlqykv,Eff_jjefeqpbnp) 
Drug_ooxdopkeuk : (Drug_skuugztcrg,Eff_bmjumquvbz) 
Drug_opeetbmayl : (Drug_mcgvscvxzt,Eff_cxlyjkaebt) 
Drug_cxnanqkqfq : (Drug_pydmwakvsn,Eff_jhwzqukfdm) 
Drug_tjslzmjolc : (Drug_fxbopyezam,Eff_awsnituyga) 
Drug_ilsnpoqxua : (Drug_bpnegjirqd,Eff_oxnebgbknw) 
Drug_udrqdbxqwy : (Drug_scptvxvldk,Eff_yfbmwjhpsf) 
Drug_uhagvqvzqv : (Drug_uzlnjrlasp,Eff_gpztvdiako) 
Drug_nkjuzcllrw : (Drug_vqrnfuzxlc,Eff_jngvjxlfua) 
Drug_upjmuoixbn : (Drug_zdelicwugl,Eff_qtintkbpsc) ; (Drug_bpfgjffbew,Eff_owzefhuggf) 
Drug_akftnuwmjs : (Drug_izrkpwafdd,Eff_anourmbzne) 
Drug_fzkcgtcnax : (Drug_zmhotfdsqf,Eff_bevfekrmwx) 
Drug_yewjsaxnru : (Drug_fkcebtybsc,Eff_aijhtljddd) 
Drug_wimqfejbdp : (Drug_onihsvlege,Eff_nkamvxckpc) 
Drug_conmgpzmuq : (Drug_alixxmqdzz,Eff_tjukyxqrkg) 
Drug_ydrnujndyv : (Drug_xqshtvvfvh,Eff_cuwpidjzad) 
Drug_vcmrhzdejp : (Drug_uqaphnhfyr,Eff_wpxptigqnp) 
Drug_syzjpffevz : (Drug_fuftqimqkq,Eff_izrzqsgtzx) 
Drug_boeryrottv : (Drug_twefyuxmri,Eff_umnleidvzs) 
Drug_lsepsowpok : (Drug_yixvbabpym,Eff_hompbfeeer) 
Drug_vakbskbrsv : (Drug_dxrybkjlfp,Eff_djxnvbhzmu) 
Drug_pwbgsaqtsw : (Drug_kfgohrskxa,Eff_rfbueukfcu) 
Drug_phaeaaqwvw : (Drug_urldzoslgb,Eff_ercwaaesdo) 
Drug_xbndehtaiw : (Drug_hwtqimsakk,Eff_rbbshrrrru) 
Drug_wkpabtxljv : (Drug_dvozwoyqdd,Eff_betwgxtyil) 
Drug_xddftiyvre : (Drug_gbffylzfgs,Eff_fqgjjiugyd) 
Drug_otbzogxzbn : (Drug_iwojpjjysi,Eff_ozvdlmoizq) 
Drug_znlulnvszl : (Drug_jilqskumwt,Eff_mqsbbyljmp) 
Drug_osjwjmvqwl : (Drug_rjthlpufux,Eff_gzcuahkqhc) 
Drug_srxwshslch : (Drug_nvhsjqbcsp,Eff_dboxphqaao) 
Drug_gvshsljisj : (Drug_pkzngbrffj,Eff_znmsapjkpf) 
Drug_tcqgcrsdrh : (Drug_icxgfgrrbi,Eff_faavluhucn) ; (Drug_ibwzmbnjli,Eff_vrdmbzbbax) 
Drug_zkqtitrgmx : (Drug_qgdhcqxvgr,Eff_ejxvrbhnvn) 
Drug_fqytyywwfv : (Drug_twwsudposr,Eff_sjvhopchrv) 
Drug_nieuydsbeb : (Drug_kbeobjckuu,Eff_ejqxieftii) 
Drug_vfjspjrqbv : (Drug_fmttygiuol,Eff_fstrdwdpub) 
Drug_biewompdam : (Drug_ezhxwbizdj,Eff_tzktetrqda) 
Drug_rrcokomjlz : (Drug_godkuroxup,Eff_rmaujvbfkg) 
Drug_tvrxcbpjzz : (Drug_lgxznousoi,Eff_vbtgolthnt) 
Drug_ueegzfwwih : (Drug_uwfrfjrbde,Eff_osabmaoemo) 
Drug_msvfujquly : (Drug_bljrwgugic,Eff_kszdsaxedq) 
Drug_gthbjnhbmj : (Drug_ytjqdasxuc,Eff_ijnnngkanm) 
Drug_wnoramguez : (Drug_sczqejndmm,Eff_pqblqjyjrk) 
Drug_ujxeuxceyi : (Drug_eawwfvwfqu,Eff_iivrlbcqsm) ; (Drug_rifytlpwop,Eff_iusmgyqcbl) 
Drug_fdmcvwfvhh : (Drug_dhwmggwdpi,Eff_mpabzyydxj) 
Drug_lzarlufuxo : (Drug_iyokjikkff,Eff_htijwcbaap) 
Drug_keftvyulhi : (Drug_blecgfonlm,Eff_opzefdgxqd) 
Drug_ujfvtmmyfw : (Drug_yympbnuuce,Eff_ybysumnomi) 
Drug_osvhzkjjnb : (Drug_vbkbxmqpbm,Eff_ytmhijetmr) 
Drug_oxyuayndla : (Drug_zyeujhrfru,Eff_vwvlldhehv) 
Drug_ifushyopbj : (Drug_qipxlcjbow,Eff_mrmnciezhe) 
Drug_gghzwwcxrx : (Drug_yqpojthguv,Eff_fvonmvrwhi) 
Drug_eslelhxmmt : (Drug_chnmhnafac,Eff_johwnqzvgt) 
Drug_oyydmrvsmz : (Drug_jfhnawguex,Eff_dejzvexcjz) 
Drug_qzsnydhgsy : (Drug_ckfzzvopzv,Eff_qrnlyucnlh) 
Drug_gxrtazldmi : (Drug_bvntfyqlwo,Eff_sjdbyrgbmt) 
Drug_cveauhuiwx : (Drug_yykymhdbjs,Eff_awyfoorfeo) 
Drug_zgcpdfmdoh : (Drug_ycyxauamnm,Eff_dutguljddd) 
Drug_cqmakipdef : (Drug_jcythmilos,Eff_gccrvmskfh) 
Drug_exnkjfpkld : (Drug_uhtyzlxuxt,Eff_gjzefqpzjd) 
Drug_mgxcmrbzog : (Drug_mtmaodbjoa,Eff_blihndzakw) 
Drug_ggwnyxxwqp : (Drug_efzkoitmei,Eff_zidfxvlcrh) 
Drug_hefevywyyc : (Drug_alqgitgomw,Eff_eavlkviqms) 
Drug_fcwopiwolp : (Drug_ifijytkyuw,Eff_zspzyyvkwg) 
Drug_hoqfuuoflo : (Drug_dfyhymreep,Eff_arnsctsape) 
Drug_vkwbupowyo : (Drug_qabmycunpe,Eff_thhslqbxrs) 
Drug_xlhwuptkbv : (Drug_ajnnhhagjv,Eff_hqvnxjkjip) 
Drug_vfogpwhwwq : (Drug_xrmxsadjcd,Eff_czvwhzgjto) 
Drug_rrccvztcrh : (Drug_acdtivmpfw,Eff_kvnqybxfkd) 
Drug_uocadzphrd : (Drug_xipcjkmdyk,Eff_tgtxyvwbtg) 
Drug_rdcuzfqjsv : (Drug_cmvrpapjeb,Eff_upwnehelwp) 
Drug_spfrqzloks : (Drug_iigkgenvno,Eff_wfweuvqdxf) 
Drug_rhbyztngwf : (Drug_hmbqqcccms,Eff_pkvgglvxzr) 
Drug_lpgncegrsi : (Drug_ketdgcddbd,Eff_wvxnvlywkj) 
Drug_iiclqlfbnl : (Drug_sugvkdlnrk,Eff_sioxmkqzxp) 
Drug_uwewauntov : (Drug_bdgwlacotr,Eff_bviwfgxlru) 
Drug_bmyemzcnlh : (Drug_mqpobbpzhk,Eff_kogdwjdbyv) 
Drug_fnnldcqrdo : (Drug_kkixtwklxf,Eff_lulfjzthnh) 
Drug_olmxtycrht : (Drug_jqppttawch,Eff_fcdoxkibyj) 
Drug_rcvhlqcxvc : (Drug_fseyxqttrl,Eff_jxojsxedhz) 
Drug_dauobjrvex : (Drug_wphegiksfb,Eff_susruujkvy) 
Drug_fjzidmvawx : (Drug_ogtqpcysmb,Eff_hapyzcgkzz) 
Drug_xnwqpddasd : (Drug_qunwtuvtuq,Eff_bcokentwsb) 
Drug_znfvykxrzs : (Drug_onswacanrm,Eff_knxgvmjsmd) 
Drug_iudxvtvhxl : (Drug_myiuvopolg,Eff_urnbbrzjhu) 
Drug_lyqthrrvxc : (Drug_cgxjiijeub,Eff_jtctgyuwvx) 
Drug_aohekvydzc : (Drug_ilziquvszk,Eff_jlrnksjhbn) 
Drug_rjfwjmphyu : (Drug_qcdogyxybd,Eff_hniyhvbnrz) 
Drug_ccshooizgy : (Drug_ixhaagbctt,Eff_ipedhumlue) 
Drug_ilmenkeuka : (Drug_vmnsktnrsv,Eff_ibhxejiwje) 
Drug_yfnkcimzlq : (Drug_zocpygjpqg,Eff_atydwvuwnp) 
Drug_caupjufblc : (Drug_eqfzcmptno,Eff_oyftriobnr) 
Drug_gqevvtfeky : (Drug_jukggianmm,Eff_omnfgpnppp) 
Drug_oeyyrdekjp : (Drug_fgdnwwmxpe,Eff_wcnakqxsar) 
Drug_wxvyrrxtxi : (Drug_ashaqnoezq,Eff_pzyufljjgg) 
Drug_cyorcqholj : (Drug_sbhrkrgrzw,Eff_qngyxhbslg) 
Drug_ecoupcdczx : (Drug_kogscyhnhk,Eff_ctsakmczcn) 
Drug_ttinkhofpn : (Drug_omtmbemiiu,Eff_wfzjboenwm) 
Drug_gmbhokirey : (Drug_wvnhvhhxvz,Eff_mhyinopezg) 
Drug_vfquguotjp : (Drug_uzvvhkgnzr,Eff_yhxdklaekw) 
Drug_vmgunrxpmw : (Drug_bfkvgccztj,Eff_smaafjqplv) 
Drug_ncgpbiugsx : (Drug_elmeygtzmo,Eff_sudbluoyqc) ; (Drug_xlcuftwgee,Eff_zpzntsmaic) 
Drug_vfokonhtmb : (Drug_pyqbblhvla,Eff_jtqriopzkg) 
Drug_dgwzrmgccn : (Drug_bzfbjmyqma,Eff_hsyoqqcftl) 
Drug_ghokrmfksd : (Drug_rihmomqvmb,Eff_ogvwnojtby) 
Drug_hiknaorviz : (Drug_hligjoaber,Eff_oavqvalsbx) 
Drug_vutcvewgmy : (Drug_mrvbcrnqwt,Eff_mesogyirkg) 
Drug_uxhyxmqlju : (Drug_ksxhpowkeo,Eff_hassdygjxd) 
Drug_evjyoxomvp : (Drug_jsjpixedet,Eff_ovubfvkyfo) 
Drug_uhbtdufjct : (Drug_edlfnftpau,Eff_hrrgfrpwqt) 
Drug_emoluokjuh : (Drug_ylzphaqscr,Eff_gofzcguayq) 
Drug_tqbiuzsayx : (Drug_xaxrcgexim,Eff_vgmmbhxdtb) 
Drug_vaspksmfdn : (Drug_lowkvvkqei,Eff_ztzgbbexyw) ; (Drug_xvtigjqgkk,Eff_lvxeyzceky) 
Drug_lymlfnrmhk : (Drug_skllafjdil,Eff_xqdnpumtbk) 
Drug_sbigvhkddv : (Drug_rptuxbcmau,Eff_nyifywecxo) 
Drug_gkfdmlyhnn : (Drug_sskzkxmvhu,Eff_wivevozzar) 
Drug_hvbrbuahpu : (Drug_bvdzmjiqgb,Eff_szvvtkcxsu) 
Drug_iqeflgcvhv : (Drug_vpqrrojgmg,Eff_plgnzovrpg) 
Drug_qbpayoovat : (Drug_okgsxymluo,Eff_lkteyonmxn) 
Drug_vkiptgxzod : (Drug_ofkncsvrvi,Eff_ojoyjgmayo) 
Drug_hfisglglls : (Drug_weclgxucfs,Eff_ymhicmgmwc) 
Drug_gkgrqpdnfk : (Drug_ofupcwxqbn,Eff_gryewowjbg) 
Drug_tpwuqthwur : (Drug_ujacnqeyaf,Eff_okpqoclrjm) 
Drug_uvflbwmflf : (Drug_zpjxabtnir,Eff_hmfvzdatkl) 
Drug_dwxiwrlujs : (Drug_dtxhamdkei,Eff_lwpkmvtswg) ; (Drug_buyyngaqsp,Eff_tvnqwtprju) 
Drug_jcwcmkbxib : (Drug_jjhwlhhpyi,Eff_ewansutfqx) 
Drug_cifnlbgkph : (Drug_onvwwidfbd,Eff_iiyoucfwoq) 
Drug_atbuquxbfn : (Drug_ipkpdeulbo,Eff_avjdjdkghc) 
Drug_mdlvqkjefg : (Drug_rwxdylxquz,Eff_wmngivxckp) 
Drug_qvxwffscmq : (Drug_ihgutewmzb,Eff_kuksksrhaw) 
Drug_uymnscgazx : (Drug_achzafrips,Eff_mvdseofqds) 
Drug_fhhmsdosfe : (Drug_xnnxwkfdbt,Eff_qykjzxujyz) 
Drug_watkqicrpp : (Drug_wrimqirphq,Eff_ijalopexsb) 
Drug_jitufeyniw : (Drug_hkywyjdaez,Eff_ynohmbefnr) 
Drug_etdyayfgzw : (Drug_fuffvjwwlx,Eff_ugxvbojnqa) 
Drug_exoegcrnll : (Drug_xioltlrdeu,Eff_eavxqgceig) ; (Drug_xxuxeqkfpe,Eff_otdzhmtrwc) 
Drug_yvcfqbzmhs : (Drug_lggwktezqt,Eff_inxrdqaxbs) 
Drug_uhkowvvuzp : (Drug_ywbhxhprms,Eff_zmhzlcofvt) 
Drug_efnaucuxel : (Drug_asiatqvlgb,Eff_rgaimjxkrc) 
Drug_auwqmsneta : (Drug_netmzessry,Eff_otzlnaqnjk) 
Drug_tkatqdoqhb : (Drug_wqfpnwbfio,Eff_cobkavrlgh) 
Drug_dcyhtnyppu : (Drug_zippfgwung,Eff_pgrejqpluj) 
Drug_bbmzezmljm : (Drug_tyxetwnveh,Eff_penfulxcig) 
Drug_rwiguvzmpz : (Drug_wwrlxlzjym,Eff_mvkgjqiiak) 
Drug_tffsqrwgxo : (Drug_bcjredijze,Eff_iqiaqrkfry) 
Drug_vrakyglihz : (Drug_bessyahndj,Eff_vcaostlhqy) 
Drug_medifebrnz : (Drug_nepljtikhy,Eff_cytxiayqqm) 
Drug_rzylquilrf : (Drug_gvcmxndwqi,Eff_baqdnvozpx) 
Drug_plpomzgpxy : (Drug_feseeheqgh,Eff_jfhkjkgqhz) 
Drug_pnjocpwrcp : (Drug_kupsqpcujt,Eff_civyqxayon) ; (Drug_qqhhgzrwxk,Eff_agqksaaekp) 
Drug_fburmvjbdv : (Drug_ivdmqyyxar,Eff_dqvmsweqhd) 
Drug_vwlpzkmwfk : (Drug_ksfkqucirp,Eff_xryhmbrbwc) 
Drug_robazucvdi : (Drug_pdvxipqfia,Eff_krmrsvmeaf) 
Drug_ruvlpbqzet : (Drug_nmgeduiiza,Eff_dpxdvqnvbs) 
Drug_tklagkpdit : (Drug_ptpgdthymj,Eff_uxfashwwee) 
Drug_ribdzkejoh : (Drug_fdtywemvbj,Eff_ecdxgccjvx) 
Drug_rutmrzqpyo : (Drug_dfmmvpcohd,Eff_iwkokgclrb) 
Drug_kczgyxkhpo : (Drug_ybcgkqssgi,Eff_ondhprxxpn) 
Drug_kkcmoyruge : (Drug_cgecbuwknq,Eff_sycpkbyvcs) 
Drug_qfwoyibzxl : (Drug_ghkknvvsle,Eff_ddhihfbcbc) 
Drug_zlwctsbdli : (Drug_rdtqdcbrlg,Eff_usdohgxftl) 
Drug_ajppqmpzpy : (Drug_aqxjdcyqku,Eff_ukvpwzzvlm) 
Drug_wqnpzxiydl : (Drug_rboyirfvuk,Eff_fsfftkrlha) ; (Drug_pemzxslprn,Eff_zcextwisyj) 
Drug_dwcrwxrgpy : (Drug_dnhsxlhblf,Eff_jwgzeuvcjx) 
Drug_heaozuzzly : (Drug_vfsskclbhk,Eff_ybkghdecwd) ; (Drug_ydyveijoxr,Eff_upzxfpupdb) ; (Drug_axdomjhcrs,Eff_uijxbbphcz) 
Drug_fekhgodhoy : (Drug_txleujiyfh,Eff_vkimxhaifw) 
Drug_ydoeufxtbc : (Drug_jrdqwkcbtn,Eff_dksirgjlao) 
Drug_dwcvfegcoj : (Drug_bklybbifeo,Eff_tckxinkryx) 
Drug_ianbdglrgc : (Drug_fsfbqywgcs,Eff_oetpwlfmmc) 
Drug_xptjciomgp : (Drug_jortdinoev,Eff_afzdonyify) 
Drug_owdvwmguzd : (Drug_fwbnjgwwml,Eff_jxboryjxeq) 
Drug_nugefkydzf : (Drug_etjrdhwlup,Eff_ajcguaqxmu) 
Drug_jaszkpmyby : (Drug_nruhiritku,Eff_bgrhtsvkdw) 
Drug_rqenirxnlx : (Drug_iojuxdifxc,Eff_voexbltqlt) 
Drug_koqkjddevz : (Drug_rrqwnhqlzp,Eff_rwluygxguz) 
Drug_gfswegmwxb : (Drug_bbktmmvsyv,Eff_dlrhokpayo) 
Drug_djxmdkrjfy : (Drug_hazmhxlwsj,Eff_chppclrvhe) 
Drug_eckkkyccis : (Drug_yrmuucrmiy,Eff_uaxopwjhng) 
Drug_mhywwqjwcw : (Drug_ycunoizadh,Eff_hllnavvsrq) 
Drug_itgfurtdvb : (Drug_pffhhgsstr,Eff_pvbjgxhxga) 
Drug_vclouhtpqj : (Drug_nmhzznohyg,Eff_ksipvlqikz) 
Drug_qlqtxbqaqk : (Drug_tkxddruyad,Eff_kcknhovytm) 
Drug_sbgrciymin : (Drug_djkmxkhuys,Eff_ngaolgefat) 
Drug_onzophchgs : (Drug_rgalherwkm,Eff_wlnvhydbts) 
Drug_ancjtxkcvm : (Drug_ntgltspvno,Eff_uuxdunxhru) 
Drug_mhwqpkveqx : (Drug_ogfcyvzxzh,Eff_atqzsbpxqv) ; (Drug_iwgyatttmv,Eff_orognostit) 
Drug_sboqzvfwzu : (Drug_edbazhkyqq,Eff_jsyciurnsk) 
Drug_dqlmvwynuv : (Drug_nzeergvgai,Eff_obevhthdzs) 
Drug_xfhbvtxyco : (Drug_oohhpozozr,Eff_dhgmioskrg) ; (Drug_iohusjkokd,Eff_luyiuipset) 
Drug_sczqejndmm : (Drug_wnoramguez,Eff_pqblqjyjrk) 
Drug_pblvbgponn : (Drug_xdrmvnhnad,Eff_ckreiknvcm) 
Drug_isawcymsvb : (Drug_fqrlzfzxxg,Eff_pxnmuoeiaz) 
Drug_silbmyyjqy : (Drug_tddptcduek,Eff_hqwkvbveny) 
Drug_rlqzbtyext : (Drug_wznqduxfld,Eff_yaqnordiew) 
Drug_rtustslcpc : (Drug_rrwyefddcm,Eff_bdfimayrsg) 
Drug_hmysnlbotf : (Drug_saqcnhijfm,Eff_gwitwcxcow) 
Drug_zcxwxyvenk : (Drug_ogllenqixz,Eff_pbkkoserdr) 
Drug_gxectouvzb : (Drug_jaewqbmous,Eff_exendtkihf) ; (Drug_alhwiqdxvr,Eff_njnfgicizz) 
Drug_yiyroboqsz : (Drug_xdxpjzyhyt,Eff_kdpvnrjsta) 
Drug_ddnxcujisw : (Drug_aqfhzyewgc,Eff_lqutiidphy) 
Drug_toxptbbeas : (Drug_hvuoutyjon,Eff_newnrelkkh) 
Drug_gnqmcvskhb : (Drug_bthnhlgktg,Eff_xbmwvlcwfa) 
Drug_fuljfwdifj : (Drug_ekjczhgtwj,Eff_xksajkymzs) 
Drug_shylmzxjwu : (Drug_wmbobfxeym,Eff_quhitayjwi) 
Drug_agmwwdtqls : (Drug_iiismbzscx,Eff_tcizlpgyix) 
Drug_vjdhmashsy : (Drug_ourgjwxsbh,Eff_hbkjvbuuhk) 
Drug_rumanzrzdy : (Drug_nvltrssuwr,Eff_zrdbguuans) 
Drug_dshbhjgftj : (Drug_olycwzrabb,Eff_nckhjpvkbu) ; (Drug_hypuiexfij,Eff_zlgecumjdn) 
Drug_pnypxhtcty : (Drug_asvhuofzlw,Eff_lrhhzwretx) 
Drug_fnanfashyx : (Drug_htboihqhxz,Eff_zktbekixgj) 
Drug_klncykbflg : (Drug_xqkzhqxxeh,Eff_ffpbmlhahm) ; (Drug_olhzdecjct,Eff_fzmmkwerjn) 
Drug_bxghlqjhqp : (Drug_onuonwlwqx,Eff_qvrgrrvcog) 
